CLUE,ANS,OUTPUT
Departed ,gone,"['Left', 'Departed in spirit', 'Went away', 'Passed on', 'Exited', 'Quit', 'Ceased', 'Stopped by', 'Withdrew', 'Removed oneself', 'Parted ways', 'Fled the scene', 'Left behind', 'Disappeared', 'Vanished', 'Went missing', 'Departed this life', 'Passed away', 'Exited stage left', 'Left the building']"
TV,telly,"['Box', 'Screen', 'Set', 'Receiver', 'Monitor', 'Display', 'Appliance', 'Electronic', 'Device', 'Console', 'Viewer', 'Entertainment system', 'Media player', 'Visual device', 'Color TV', 'High-def', 'HDTV', 'Flat-screen', 'Plasma', 'LED']"
Place in peril ,endanger,"['In danger', 'At risk', 'Threatened', 'Imperiled', 'Menaced', 'Hazardous situation', 'High-stakes scenario', 'Perilous predicament', 'Tenuous position', 'Precarious circumstances', 'Unstable situation', 'Rocky terrain', 'Treacherous landscape', 'Shaky ground', 'Unpredictable environment', 'Unsteady footing', 'Fractured context', 'Crumbling foundation', 'Shattered equilibrium', 'Destabilized setting']"
Love ,nil,"['Affection', 'Passion', 'Adoration', 'Devotion', 'Tenderness', 'Romance', 'Cherish', 'Dearly', 'Ardor', 'Amity', 'Intimacy', 'Closeness', 'Warmth', 'Kindness', 'Compassion', 'Sentimental', 'Admiration', 'Enthusiasm', 'Fervor', 'Infatuation']"
Becoming aware ,realising,"['Realizing', 'Recognizing', 'Comprehending', 'Perceiving', 'Noticing', 'Awakening', 'Enlightening', 'Illuminating', 'Consciousness-raising', 'Epiphany-inducing', 'Insight-gaining', 'Awareness-raising', 'Perception-enhancing', 'Understanding-boosting', 'Self-discovery-promoting', 'Empathizing', 'Introspection-stimulating', 'Mind-expanding', 'Illumination-experiencing', 'Consciousness-expanding']"
A fierce and abusive woman ,virago,"['Harpy', 'Scoldum', 'Bawdy', 'Catty', 'Vitriolic', 'Fiery', 'Ill-tempered', 'Cranky', 'Irritable', 'Hot-headed', 'Crabby', 'Snappy', 'Testy', 'Peckish', 'Sour-faced', 'Cross-grained', 'Contrary', 'Irascible', 'Petulant', 'Irrational']"
Burrow,delve,"['Dig', 'Excavate', 'Tunnel', 'Pierce', 'Hollow out', 'Make a hole in the ground', 'Create an underground passage', 'Engrave', 'Plow', 'Furrow', 'Till', 'Dredge', 'Mound', 'Heave', 'Raise', 'Lift', 'Elevate', 'Rouse', 'Stir up', 'Bury']"
1 across was from 1877 ,empress,['The year 1877 is probably indicating that the clue is related to an event or innovation from that time period.']
Worshipped ,idolised,"['Adored', 'Venerated', 'Revered', 'Honored', 'Idolized', 'Deified', 'Exalted', 'Admired', 'Esteemed', 'Respected', 'Cherished', 'Loved', 'Adulated', 'Canonized', 'Enshrined', 'Cultivated', 'Sanctified', 'Piously honored', 'Devoutly revered', 'Supernaturally revered']"
Novel by Louisa May Alcott ,little women,[]
