CLUE,ANS,OUTPUT
Mark - cape - piece used in game ,domino,"['Banner', 'Flag', 'Sign', 'Standard', 'Pennant', 'Emblem', 'Crest', 'Patch', 'Logo', 'Symbol', 'Mark', 'Pointer', 'Indicator', 'Signboard', 'Label', 'Badge', 'Trademark', 'Insignia', 'Coat of arms', 'Blimp']"
Fairground attraction,hall of mirrors,"['Ferris wheel', 'Roller coaster', 'Carousel', 'Haunted house', 'Tilt-a-whirl', 'Scrambler', 'Dodgem', 'Tea cup ride', 'Fun house', 'Ghost train', 'Log flume', 'Water ride', 'Zipper line', 'Pirate ship', 'Gravitron', 'Space shot', 'Barnstormer', 'Wave rider', 'Merry-go-round', 'Haunted castle']"
House or hotel visitors ,guests,"['Guest', 'Lodger', 'Tenant', 'Occupant', 'Boarder', 'Host', 'Patron', 'Client', 'Visitor', 'Traveler', 'Occupier', 'Inhabitant', 'Boarder', 'Host', 'Guestroom user', 'Bed and breakfast patron', 'Airbnb renter', 'Hotel resident', 'Roommate', 'Housemate']"
Rush headlong ,career,"['Rushing', 'Hurrying', 'Dashing', 'Hurrying along', 'Scouring', 'Ranting', 'Panicked', 'Flustered', 'Agitated', 'Frenetic', 'Madcap', 'Impetuous', 'Careless', 'Reckless', 'Rash', 'Hasty', 'Speedy', 'Rapid', 'Prompt', 'Urgent']"
Take over by force,usurp,"['Seize', 'Capture', 'Occupy', 'Override', 'Assert control', 'Dominate', 'Control', 'Take charge', 'Subdue', 'Capture by force', 'Overpower', 'Overwhelm', 'Hijack', 'Override authority', 'Assert dominance', 'Gain control', 'Strong-arm tactics', 'Coercion', 'Oppress', 'Suppress']"
Put right ,amend,"['Upright', 'Rectified', 'Corrected', 'Straightened', 'Balanced', 'Upholds', 'Supports', 'Rectifies', 'Sets right', 'Rightened', 'Upright posture', 'Right angle', 'Set things straight', 'Put into order', 'Fix', 'Remedy', 'Repair', 'Restore', 'Make whole', 'Rectify a mistake']"
This job does not require all of the working week ,part-time,"['Weekend', 'Leisure time', 'Free time', 'Vacation', 'Holiday', 'Spare time', 'Off-duty', 'Non-working hours', 'Rest period', 'Free hours', 'Time off', 'Availability', 'Flexibility', 'Leisurely', 'Unoccupied time', 'Downtime', 'Non-productive hours', 'Unengaged time', 'Rest and relaxation', 'Time for leisure']"
Utter with excited cries,whoop,"['Rejoice', 'Exult', 'Celebrate', 'Jubilate', 'Exuberate', 'Flourish with joy', 'Shout for joy', 'Chant with glee', 'Rave about it', 'Express delight', 'Be filled with joy', 'Ecstasy', 'Triumph', 'Hallelujah!', 'Yippee!', 'Hurrah!', 'Rejoice heartily', 'Be over with joy', 'Celebrate wildly', 'Express great joy']"
Vertical post by entrance,doorjamb,"['Lobby', 'Hallway', 'Passageway', 'Entrance hall', 'Reception area', 'Corridor', 'Pathway', 'Gallery', 'Atrium', 'Antechamber', 'Foyer', 'Crosswalk', 'Walkway', 'Street level', 'Threshold', 'Entryway', 'Approach', 'Gateway', 'Route', 'Passage']"
"Energy, style ",elan,"['Chic', 'Fashionable', 'Elegant', 'Sophisticated', 'Classy', 'Modern', 'Stylish', 'Sophisticated', 'Chic and trendy', 'Upscale', 'Refined', 'Graceful', 'Polished', 'Fashion-forward', 'Cutting-edge', 'Alluring', 'Attractive', 'Desirable', 'Elegant attire', 'Haute couture']"
Remanded or delayed ,detained,"['Postponed', 'Delayed', 'Withdrawn', 'Put off', 'Postmarked', 'Rescheduled', 'Halted', 'Delayed delivery', 'Held up', 'Delayed start', 'Postponement', 'Deferred', 'Awaitful', 'Pending', 'In progress', 'Not yet finished', 'On hold', 'Not immediate', 'Not yet available', 'Subject to change']"
Bath ,tub,"['Ablutions', 'Cleansing', 'Washing', 'Grooming', 'Hygiene', 'Soaking', 'Sprouting', 'Hydration', 'Soak up', 'Rinse off', 'Bath time', 'Daily wash', 'Grooming routine', 'Skin care', 'Watery ritual', 'Ritual bath', 'Lush surroundings', 'Aromatic soak', 'Deep cleanse', 'Refreshing bath']"
