CLUE,ANS,OUTPUT
First ,mcaleese*,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to left hungry)', 'Vitamin deficiency', 'Picky eater (can lead to hunger if not addressed)', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt (due to lack of food)']"
Organization of people or resources that can be shared ,pool,[]
Season ,spring,"['On tap', 'Abundant', 'Easily obtainable', 'Accessible', 'Obtainable on demand', 'At-hand', 'Handy', 'Quickly available', 'Immediate', 'Instantly obtainable', 'Convenient', 'Readily accessible', 'Within reach', 'Available at short notice', 'Up-to-the-minute', 'Promptly available', 'Quick-fetching', 'Directly obtainable', 'Instantaneously accessible', 'Immediate']"
Go away ,depart,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to left hungry)', 'Vitamin deficiency', 'Picky eater (can lead to hunger if not addressed)', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt (due to lack of food)']"
Scurry -- iconic small car ,beetle,[]
Musician's aid for pitch ,tuning fork,['The clue suggests something that is available in large quantities and can be easily obtained.']
Police rank ,superintendent,"['The word ""police"" is a police force or organization that is responsible for public safety.']"
Radioactive metallic element ,radium,[]
Fortress,castle,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to left hungry)', 'Vitamin deficiency', 'Picky eater (can lead to hunger if not addressed)', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt']"
"Constraint, coercion ",duress,"['The answer could be words like ""available"", ""accessible"", ""on tap"", ""convenient"", ""easily obtainable"", etc.']"
"'Decorous, dignified (6)' ",seemly,[]
Took a secret look ,peeked,"['Accessible', 'Available', 'At hand', 'Convenient', 'Easy to find', 'Easy access', 'Handy', 'Immediate', 'Instantaneous', 'Promptly available', 'Ready at hand', 'Ready for the taking', 'Ready to be obtained', 'Ready at any moment', 'Ready for immediate use', 'Ready at your disposal', 'Ready to fulfill a need', 'Ready to be procured', 'Ready to be obtained', 'Ready at any time']"
Identify (someone hidden) ,unmask,[]
Extreme fear ,terror,[]
Defame falsely,libel,"['The word ""falsify"" means to do something in a way that is misleading or deceptive']"
Tax-free savings account ,isa,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to left hungry)', 'Vitamin deficiency', 'Picky eater', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt']"
Stops ,ceases,"['Accessible', 'Convenient', 'Easy', 'Immediate', 'Promptly', 'Ready', 'Available', 'Available at any time', 'Conveniently', 'Instantly', 'Promptly', 'Ready at hand', 'Quick-getting', 'Easy to obtain', 'Conveniently', 'Readymade', 'readily available', 'readily at hand', 'readily available', ""readily at one's disposal""]"
Cut down on ,reduce,"['Convenient', 'Ready at hand', 'Within reach', 'Promptly available', 'Instantly available', 'On tap', 'At-hand', 'Up-to-the-minute', 'Instantaneous', 'Immediately available', 'Handy', 'Quick-fetching', 'Directly obtainable', 'Accessible', 'Abundant', 'Readily accessible', 'Convenient', 'Ready at any moment', 'Available on demand', 'Ready at the moment']"
Jester - dessert,fool,[]
Mash cork up for an emblem ,shamrock,"['Abundant', 'Accessible', 'Convenient', 'Handily', 'Immediate', 'Promptly', 'Ready', 'Right at hand', 'Instantly', 'Conveniently', 'Available', 'Ready at any moment', 'Available at your convenience', 'Ready at the slightest notice', 'Timely', 'Prompt', 'Immediate', 'Ready and readily available', 'Ready at any given moment', 'Ready at your leisure']"
Without pause ,nonstop,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to left hungry)', 'Vitamin deficiency', 'Picky eater (can lead to hunger if not addressed)', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt']"
Water round a castle,moat,"['The word ""hungry"" fits this definition perfectly, as it means to be without food or drink.']"
Weep ,cry,[]
Like an omelette ,eggy,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to left hungry)', 'Vitamin deficiency', 'Picky eater (can lead to hunger if not addressed)', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt']"
Torment,tantalise,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to left hungry)', 'Vitamin deficiency', 'Picky eater (can lead to hunger if not addressed)', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt']"
Busy insects ,ants,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to left hungry)', 'Vitamin deficiency', 'Picky eater (can lead to hunger if not addressed)', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt (due to lack of food)']"
Feeling guilt or remorse ,ashamed,[]
"Weill, Weber or Webber ",composer,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to left hungry)', 'Vitamin deficiency', 'Picky eater', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt']"
Hot condiment ,mustard,[]
Giving out ,emitting,"['Abundant', 'Accessible', 'Convenient', 'Easy', 'Immediate', 'On hand', 'Promptly', 'Instantly', 'Ready', 'Ready at any time', 'Convenient', 'Handy', 'Conveniently', 'Immediately', 'Instantly', 'Promptly', 'Conveniently', 'Ready at any moment', 'Promptly', 'Ready at your convenience']"
Bird (of peace?) ,dove,[]
As well ,to boot,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to left hungry)', 'Vitamin deficiency', 'Picky eater (can lead to hunger if not addressed)', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt (due to lack of food)']"
Unhappy ,sad,"['Unfed', 'Undernourished', 'Malnourished', 'Starving', 'Famished', 'Hungry stomach', 'Inadequately fed', 'Underfed', 'Deprived of food', 'Nutrient-deficient', 'Fasting (when unintended)', 'Empty belly', 'Goiter (indirectly related to being readily available)', 'Vitamin deficiency', 'Picky eater (can lead to hunger if not addressed)', 'Food insecurity', 'Underfed child', 'Unfulfilled appetite', 'Empty pantry', 'Lean and gaunt (due to lack of food)']"
Obstinate quadruped,mule,"['They are all synonyms for the word ""hungry"".']"
